title,type,genre,year,rating,region
Dick Johnson Is Dead,Movie,Documentaries,2020,PG-13,United States
Blood & Water,TV Show,International TV Shows,2021,TV-MA,South Africa
Kota Factory,TV Show,International TV Shows,2021,TV-MA,India
Sankofa,Movie,Dramas,1993,TV-MA,United States
The Great British Baking Show,TV Show,British TV Shows,2021,TV-14,United Kingdom
The Starling,Movie,Comedies,2021,PG-13,United States
Je Suis Karl,Movie,Dramas,2021,TV-MA,Germany
Dear White People,TV Show,TV Comedies,2021,TV-MA,United States
Falsa identidad,TV Show,Crime TV Shows,2020,TV-MA,Mexico
Resurrection: Ertugrul,TV Show,International TV Shows,2018,TV-14,Turkey
Jeans,Movie,Comedies,1998,TV-14,India
Love on the Spectrum,TV Show,Docuseries,2021,TV-14,Australia
Grown Ups,Movie,Comedies,2010,PG-13,United States
Dark Skies,Movie,Horror Movies,2013,PG-13,United States
Paranoia,Movie,Thrillers,2013,PG-13,United States
Sex Education,TV Show,British TV Shows,2020,TV-MA,United Kingdom
Angry Birds,TV Show,Kids' TV,2018,TV-Y7,Finland
Birth of the Dragon,Movie,Action & Adventure,2017,PG-13,China
Chhota Bheem,TV Show,Kids' TV,2021,TV-Y7,India
He-Man and the Masters of the Universe,TV Show,Kids' TV,2021,TV-Y7,United States
Jaws,Movie,Action & Adventure,1975,PG,United States
Jaws 2,Movie,Dramas,1978,PG,United States
Jaws 3,Movie,Action & Adventure,1983,PG,United States
Jaws: The Revenge,Movie,Action & Adventure,1987,PG-13,United States
Safe House,Movie,Action & Adventure,2012,R,South Africa
Training Day,Movie,Dramas,2001,R,United States
Castle and Castle,TV Show,International TV Shows,2021,TV-MA,Nigeria
Dharmakshetra,TV Show,International TV Shows,2014,TV-PG,India
InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,Action & Adventure,2002,TV-14,Japan
InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,Action & Adventure,2003,TV-14,Japan
InuYasha the Movie 4: Fire on the Mystic Island,Movie,Action & Adventure,2004,TV-PG,Japan
InuYasha the Movie: Affections Touching Across Time,Movie,Action & Adventure,2001,TV-PG,Japan
Nailed It,TV Show,Reality TV,2021,TV-PG,United States
Naruto Shippuden the Movie: Blood Prison,Movie,Action & Adventure,2011,TV-14,Japan
Naruto Shippûden the Movie: Bonds,Movie,Action & Adventure,2008,TV-PG,Japan
